qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
8198,1022,844,6,16,1,01:43.6,01:42.9,01:42.5
8218,1023,844,6,16,1,01:20.1,01:19.6,01:19.3
8238,1024,844,6,16,1,01:38.0,01:36.7,01:36.2
8258,1025,844,6,16,1,01:33.6,01:32.4,01:31.6
8278,1026,20,6,5,1,01:29.0,01:28.2,01:27.1
8298,1027,830,9,33,1,01:15.9,01:16.1,01:14.8
8318,1028,822,131,77,1,01:33.8,01:33.2,01:32.0
8338,1029,830,9,33,1,01:08.2,01:07.5,01:07.5
8358,1030,1,131,44,1,01:35.9,01:35.6,01:34.8
8378,1031,822,131,77,1,01:04.1,01:03.0,01:02.9
8398,1032,1,131,44,1,01:18.2,01:17.8,01:19.3
8437,1033,1,131,44,1,01:14.9,01:14.3,01:13.4
8438,1034,1,131,44,1,01:25.9,01:25.3,01:24.3
8458,1035,822,131,77,1,01:26.7,01:25.8,01:25.2
8478,1036,1,131,44,1,01:16.9,01:16.0,01:15.6
8498,1037,1,131,44,1,01:42.3,01:42.0,01:41.3
8518,1038,1,131,44,1,01:19.5,01:19.1,01:18.9
8538,1039,1,131,44,1,01:15.8,01:15.3,01:15.1
8558,1040,1,131,44,1,01:33.0,01:32.8,01:31.3
8578,1041,822,131,77,1,01:26.6,01:26.0,01:25.3
8615,1042,1,131,44,1,01:16.8,01:16.8,01:16.7
8635,1043,822,131,77,1,01:14.2,01:14.6,01:13.6
8655,1044,840,211,18,1,02:07.5,01:53.4,01:47.8
8675,1045,1,131,44,1,01:28.3,01:27.6,01:27.3
8695,1046,822,131,77,1,00:53.9,00:53.8,00:53.4
8715,1047,830,9,33,1,01:36.0,01:35.6,01:35.2
9116,1051,1,131,44,1,01:21.9,01:21.7,01:20.8
8735,1052,830,9,33,1,01:30.5,01:30.3,01:29.0
8755,1053,1,131,44,1,01:14.8,01:14.8,01:14.4
8775,1054,822,131,77,1,01:18.7,01:18.5,01:18.3
8795,1055,1,131,44,1,01:18.2,01:17.2,01:16.7
8815,1056,844,6,16,1,01:11.1,01:10.6,01:10.3
8834,1057,844,6,16,1,01:42.2,01:41.7,01:41.2
8874,1058,830,9,33,1,01:04.5,01:04.4,01:03.8
8854,1059,830,9,33,1,01:31.0,01:31.1,01:30.0
8894,1060,830,9,33,1,01:04.2,01:03.9,01:03.7
8914,1061,1,131,44,1,01:26.8,01:26.0,01:26.1
8934,1062,1,131,44,1,01:16.4,01:16.6,01:15.4
8954,1063,830,9,33,1,01:58.7,01:56.6,01:59.8
8974,1064,830,9,33,1,01:10.0,01:09.1,01:08.9
8994,1065,822,131,77,1,01:20.7,01:20.0,01:19.6
9014,1066,846,1,4,1,01:47.2,01:45.8,01:42.0
9036,1067,1,131,44,1,01:24.6,01:23.1,01:22.9
9056,1069,830,9,33,1,01:34.4,01:33.5,01:32.9
9076,1070,822,131,77,1,01:16.7,01:16.9,01:15.9
9096,1071,1,131,44,1,01:08.7,01:08.1,01:07.9
9136,1072,1,131,44,1,01:28.5,01:27.7,01:27.5
9156,1073,830,9,33,1,01:23.3,01:22.8,01:22.1
9176,1074,844,6,16,1,01:31.5,01:30.9,01:30.6
9213,1075,815,9,11,1,01:29.7,01:28.9,01:28.2
9233,1076,844,6,16,1,01:18.9,01:18.6,01:17.9
9253,1077,830,9,1,1,01:19.3,01:18.8,01:28.0
9273,1078,844,6,16,1,01:29.5,01:29.1,01:28.8
9293,1079,844,6,16,1,01:19.9,01:20.0,01:18.7
9313,1080,844,6,16,1,01:12.6,01:11.9,01:11.4
9333,1081,844,6,16,1,01:42.9,01:42.0,01:41.4
9353,1082,830,9,1,1,01:32.2,01:23.7,01:21.3
9373,1083,832,6,55,1,01:40.2,01:41.6,01:41.0
9393,1084,830,9,1,1,01:05.9,01:05.4,01:05.0
9413,1085,844,6,16,1,01:31.7,01:31.2,01:30.9
9433,1086,847,131,63,1,01:18.4,01:18.2,01:17.4
9453,1087,830,9,1,1,01:44.6,01:44.7,01:43.7
9473,1088,830,9,1,1,01:11.3,01:10.9,01:10.3
9493,1089,844,6,16,1,01:21.3,01:21.2,01:20.2
9513,1091,844,6,16,1,01:54.1,01:52.3,01:49.4
9533,1092,830,9,1,1,01:30.2,01:30.3,01:29.3
9553,1093,832,6,55,1,01:35.3,01:35.6,01:34.4
9573,1094,830,9,1,1,01:19.2,01:18.6,01:17.8
9593,1095,825,210,20,1,01:14.0,01:11.4,01:11.7
9613,1096,830,9,1,1,01:24.8,01:24.6,01:23.8
9633,1098,830,9,1,1,01:31.3,01:30.5,01:29.7
9653,1099,815,9,11,1,01:29.2,01:28.6,01:28.3
9673,1100,830,9,1,1,01:17.4,01:17.1,01:16.7
9693,1101,844,6,16,1,01:41.3,01:41.0,01:40.2
9713,1102,815,9,11,1,01:27.7,01:27.3,01:26.8
9733,1104,830,9,1,1,01:12.4,01:11.9,01:11.4
9753,1105,830,9,1,1,01:13.6,01:12.8,01:12.3
9773,1106,830,9,1,1,01:20.9,01:19.1,01:25.9
9793,1107,830,9,1,1,01:05.1,01:05.0,01:04.4
9813,1108,830,9,1,1,01:29.4,01:27.7,01:26.7
9833,1109,1,131,44,1,01:18.6,01:17.4,01:16.6
9853,1110,830,9,1,1,01:58.5,01:52.8,01:46.2
9873,1111,830,9,1,1,01:21.0,01:18.9,01:10.6
9893,1112,832,6,55,1,01:22.0,01:21.0,01:20.3
9913,1113,832,6,55,1,01:32.3,01:31.4,01:31.0
9933,1114,830,9,1,1,01:29.9,01:30.0,01:28.9
9953,1115,830,9,1,1,01:25.0,01:24.5,01:23.8
9973,1116,844,6,16,1,01:36.1,01:35.0,01:34.7
9993,1117,844,6,16,1,01:18.4,01:17.9,01:17.2
10013,1118,830,9,1,1,01:10.4,01:10.2,01:10.7
10033,1119,844,6,16,1,01:33.6,01:32.8,01:32.7
10053,1120,830,9,1,1,01:24.2,01:23.7,01:23.4
10073,1121,830,9,1,1,01:30.0,01:29.4,01:29.2
10093,1122,830,9,1,1,01:28.2,01:28.0,01:27.5
10113,1123,830,9,1,1,01:16.8,01:16.4,01:15.9
10132,1124,830,9,1,1,01:28.9,01:28.7,01:28.2
10152,1125,830,9,1,1,01:34.7,01:33.8,01:33.7
10172,1126,830,9,1,1,01:27.7,01:27.6,01:27.2
10192,1127,830,9,1,1,01:15.8,01:15.2,01:14.7
10212,1128,844,6,16,1,01:11.6,01:10.8,01:10.3
10232,1129,847,131,63,1,01:13.0,01:11.7,01:12.0
10252,1130,846,1,4,1,01:12.4,01:11.9,01:11.4
10272,1131,830,9,1,1,01:05.3,01:04.5,01:04.3
10292,1132,847,131,63,1,01:30.1,01:26.7,01:25.8
